,Jefferson Property,,,,,
,,,,,,
,,,,,,
,,,,,,
,Type of property,Year of rent,Area (ft.),Rental Price,Country,State
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2017,743," $2,461 ",USA,California
,Apartment,2016,675," $2,034 ",USA,Virginia
,House,2017,670," $2,125 ",USA,Virginia
,Apartment,2016,743," $2,461 ",USA,California
,Apartment,2012,782," $2,654 ",USA,Arizona
,Apartment,2017,794," $2,356 ",USA,Virginia
,Apartment,2017,1160," $3,174 ",USA,Oregon
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2012,794," $2,177 ",USA,Nevada
,House,2017,743," $2,461 ",USA,California
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2012,743," $2,461 ",USA,California
,Apartment,2019,790," $2,495 ",USA,Nevada
,Apartment,2020,723," $1,961 ",USA,Colorado
,Apartment,2016,781," $2,585 ",USA,Arizona
,Apartment,2017,1127," $3,108 ",USA,Arizona
,House,2017,720," $2,072 ",USA,Nevada
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2012,743," $2,461 ",USA,California
,Apartment,2015,618," $1,887 ",USA,Colorado
,Apartment,2016,743," $2,461 ",USA,California
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2015,670," $2,003 ",USA,Utah
,House,2019,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2014,1110," $3,550 ",USA,Nevada
,Apartment,2015,743," $2,461 ",USA,California
,Apartment,2013,743," $2,562 ",USA,California
,House,2017,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2016,923," $3,122 ",USA,Colorado
,Apartment,2014,743," $2,461 ",USA,California
,Apartment,2016,743," $2,461 ",USA,California
,Apartment,2016,798," $2,617 ",USA,Arizona
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2015,923," $2,521 ",USA,Kansas
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2015,743," $2,461 ",USA,California
,Apartment,2012,743," $2,461 ",USA,California
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2013,733," $1,970 ",USA,Colorado
,Apartment,2020,747," $2,370 ",USA,Colorado
,Apartment,2014,743," $2,461 ",USA,California
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2018,827," $2,388 ",USA,Nevada
,Apartment,2014,747," $1,961 ",USA,Colorado
,Apartment,2016,743," $2,461 ",USA,California
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2012,743," $2,461 ",USA,California
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2020,743," $2,461 ",USA,California
,Apartment,2014,798," $2,785 ",USA,Oregon
,Apartment,2018,1305," $4,020 ",USA,Utah
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2015,743," $2,461 ",USA,California
,Apartment,2014,1109," $3,445 ",USA,Colorado
,Apartment,2016,649," $2,146 ",USA,Oregon
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2012,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2018,743," $2,461 ",USA,California
,Apartment,2018,649," $2,244 ",USA,Oregon
,Apartment,2020,743," $2,461 ",USA,California
,Apartment,2017,785," $2,208 ",USA,Nevada
,Apartment,2015,743," $2,461 ",USA,California
,Apartment,2014,743," $2,461 ",USA,California
,House,2014,743," $2,461 ",USA,California
,House,2017,743," $2,461 ",USA,California
,House,2020,743," $2,461 ",USA,California
,House,2019,743," $2,461 ",USA,California
,House,2013,743," $2,461 ",USA,California
,House,2016,743," $2,461 ",USA,California
,Apartment,2014,743," $2,461 ",USA,California
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2015,701," $2,122 ",USA,Colorado
,Apartment,2019,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2013,743," $2,461 ",USA,California
,Apartment,2017,743," $2,461 ",USA,California
,House,2018,743," $2,461 ",USA,California
,Apartment,2020,743," $2,461 ",USA,California
,Apartment,2019,649," $1,980 ",USA,Utah
